ZIP3,Count,
157,31702,
178,77767,
195,13085,
156,264150,
165,139893,
155,34986,
179,9033,
181,100481,
182,55366,
162,12566,
163,19823,
167,14348,
183,82661,
190,70752,
196,3830,
152,247678,
154,25061,
194,8764,
150,131777,
151,145506,
189,42958,
186,5269,
169,2665,
158,4481,
161,15171,
173,337406,
185,1012,
153,46843,
160,43095,
164,76424,
168,84303,
175,85628,
176,53875,
180,398870,
174,224655,
184,6983,
191,87077,
166,23224,
171,50820,
193,33983,
159,109050,
170,177490,
172,37077,
187,1803,
177,18871,
